LocID,LocName,Latitude,Longitude
111595,"Westfield Garden State Plaza - Paramus, NJ",40.91759332186292,-74.07380588954925
111348,"Plaza Honda - Brooklyn, NY",40.618768,-73.945081
111306,Franklin Sussex Hyundai,41.207222,-74.608708
111230,Town  Dartmouth  Council,41.607185,-70.93908
111229,Town  Dartmouth Town Hall,41.62901,-70.96541
111117,South Orange Garage,40.743834,-74.261461
111115,RFR Plaza 3,41.052745,-73.531894
111114,RFR Plaza 1,41.054901,-73.535329
111112,RFR 300 Atlantic,41.051216,-73.539175
111111,Pickwick Plaza,41.031904,-73.626378
111092,Park New Haven Station 1,41.303914,-72.923604
111075,Landmark Square,41.055066,-73.538719
111073,HPU Midtown,40.74189,-74.03474
